PubMedID,Matched_Protein_Id,Matched_Protein_Name,Other_protein,Sentence,marked_text
1694940,P04141,Granulocyte-macrophage colony-stimulating factor,IL-3,"In order to obtain more insight into the nature of the abnormal in vitro colony formation in myelodysplastic syndromes (MDS), we investigated the kinetics of the colony formation of 23 MDS cases in response to recombinant human interleukin-3 (IL-3), Granulocyte-macrophage colony-stimulating factor (GM-CSF), granulocyte colony-stimulating Factor (G-CSF), and giant cell tumor cell line conditioned medium (GCT-CM).","In order to obtain more insight into the nature of the abnormal in vitro colony formation in myelodysplastic syndromes (MDS), we investigated the kinetics of the colony formation of 23 MDS cases in response to recombinant human interleukin-3 ([E2] IL-3 [/E2]), [E1] Granulocyte-macrophage colony-stimulating factor [/E1] (GM-CSF), granulocyte colony-stimulating Factor (G-CSF), and giant cell tumor cell line conditioned medium (GCT-CM)."
1694940,P04141,Granulocyte-macrophage colony-stimulating factor,granulocyte colony-stimulating Factor,"In order to obtain more insight into the nature of the abnormal in vitro colony formation in myelodysplastic syndromes (MDS), we investigated the kinetics of the colony formation of 23 MDS cases in response to recombinant human interleukin-3 (IL-3), Granulocyte-macrophage colony-stimulating factor (GM-CSF), granulocyte colony-stimulating Factor (G-CSF), and giant cell tumor cell line conditioned medium (GCT-CM).","In order to obtain more insight into the nature of the abnormal in vitro colony formation in myelodysplastic syndromes (MDS), we investigated the kinetics of the colony formation of 23 MDS cases in response to recombinant human interleukin-3 (IL-3), [E1] Granulocyte-macrophage colony-stimulating factor [/E1] (GM-CSF), [E2] granulocyte colony-stimulating Factor [/E2] (G-CSF), and giant cell tumor cell line conditioned medium (GCT-CM)."
1694940,P04141,Granulocyte-macrophage colony-stimulating factor,G-CSF,"In order to obtain more insight into the nature of the abnormal in vitro colony formation in myelodysplastic syndromes (MDS), we investigated the kinetics of the colony formation of 23 MDS cases in response to recombinant human interleukin-3 (IL-3), Granulocyte-macrophage colony-stimulating factor (GM-CSF), granulocyte colony-stimulating Factor (G-CSF), and giant cell tumor cell line conditioned medium (GCT-CM).","In order to obtain more insight into the nature of the abnormal in vitro colony formation in myelodysplastic syndromes (MDS), we investigated the kinetics of the colony formation of 23 MDS cases in response to recombinant human interleukin-3 (IL-3), [E1] Granulocyte-macrophage colony-stimulating factor [/E1] (GM-CSF), granulocyte colony-stimulating Factor ([E2] G-CSF [/E2]), and giant cell tumor cell line conditioned medium (GCT-CM)."
1698023,P01375,Tumor necrosis factor,basic fibroblast growth factor,Tumor necrosis factor alpha (TNF-alpha) and basic fibroblast growth factor (bFGF) have been assigned a major role in the induction of angiogenesis.,[E1] Tumor necrosis factor [/E1] alpha (TNF-alpha) and [E2] basic fibroblast growth factor [/E2] (bFGF) have been assigned a major role in the induction of angiogenesis.
1698023,P01375,Tumor necrosis factor,bFGF,Tumor necrosis factor alpha (TNF-alpha) and basic fibroblast growth factor (bFGF) have been assigned a major role in the induction of angiogenesis.,[E1] Tumor necrosis factor [/E1] alpha (TNF-alpha) and basic fibroblast growth factor ([E2] bFGF [/E2]) have been assigned a major role in the induction of angiogenesis.
1698425,P01375,Tumor necrosis factor,regulatory cytokine,Tumor necrosis factor (TNF) is a regulatory cytokine that has pleiotropic effects on hematopoietic cell growth and differentiation.,[E1] Tumor necrosis factor [/E1] (TNF) is a [E2] regulatory cytokine [/E2] that has pleiotropic effects on hematopoietic cell growth and differentiation.
1699621,P05112,Interleukin-4,lymphokine,"Interleukin-4 (IL-4), a multipotential lymphokine reputed to play an important role in the regulation of immune responses, interacts with a variety of hemopoietic target cells through specific cell surface membrane receptors.","[E1] Interleukin-4 [/E1] (IL-4), a multipotential [E2] lymphokine [/E2] reputed to play an important role in the regulation of immune responses, interacts with a variety of hemopoietic target cells through specific cell surface membrane receptors."
1700673,P01584,Interleukin-1 beta,interleukin-2,"Interleukin-1 beta, interleukin-2, tumour necrosis factor alpha, and the interferons, alfa and gamma, were measured concurrently in synovial fluid samples from 68 patients with rheumatic diseases.","[E1] Interleukin-1 beta [/E1], [E2] interleukin-2 [/E2], tumour necrosis factor alpha, and the interferons, alfa and gamma, were measured concurrently in synovial fluid samples from 68 patients with rheumatic diseases."
1700673,P01584,Interleukin-1 beta,tumour necrosis factor alpha,"Interleukin-1 beta, interleukin-2, tumour necrosis factor alpha, and the interferons, alfa and gamma, were measured concurrently in synovial fluid samples from 68 patients with rheumatic diseases.","[E1] Interleukin-1 beta [/E1], interleukin-2, [E2] tumour necrosis factor alpha [/E2], and the interferons, alfa and gamma, were measured concurrently in synovial fluid samples from 68 patients with rheumatic diseases."
1700673,P01584,Interleukin-1 beta,alfa,"Interleukin-1 beta, interleukin-2, tumour necrosis factor alpha, and the interferons, alfa and gamma, were measured concurrently in synovial fluid samples from 68 patients with rheumatic diseases.","[E1] Interleukin-1 beta [/E1], interleukin-2, tumour necrosis factor alpha, and the interferons, [E2] alfa [/E2] and gamma, were measured concurrently in synovial fluid samples from 68 patients with rheumatic diseases."
1701357,P09919,Granulocyte colony-stimulating factor,surface transferrin receptor,"Granulocyte colony-stimulating factor (G-CSF) enhanced surface transferrin receptor (TfR) expression in two human myeloid leukemia cell lines, NKM-1 and NOMO-1, which possess G-CSF receptors.","[E1] Granulocyte colony-stimulating factor [/E1] (G-CSF) enhanced [E2] surface transferrin receptor [/E2] (TfR) expression in two human myeloid leukemia cell lines, NKM-1 and NOMO-1, which possess G-CSF receptors."
1701357,P09919,Granulocyte colony-stimulating factor,TfR,"Granulocyte colony-stimulating factor (G-CSF) enhanced surface transferrin receptor (TfR) expression in two human myeloid leukemia cell lines, NKM-1 and NOMO-1, which possess G-CSF receptors.","[E1] Granulocyte colony-stimulating factor [/E1] (G-CSF) enhanced surface transferrin receptor ([E2] TfR [/E2]) expression in two human myeloid leukemia cell lines, NKM-1 and NOMO-1, which possess G-CSF receptors."
1701357,P09919,Granulocyte colony-stimulating factor,G-CSF receptors,"Granulocyte colony-stimulating factor (G-CSF) enhanced surface transferrin receptor (TfR) expression in two human myeloid leukemia cell lines, NKM-1 and NOMO-1, which possess G-CSF receptors.","[E1] Granulocyte colony-stimulating factor [/E1] (G-CSF) enhanced surface transferrin receptor (TfR) expression in two human myeloid leukemia cell lines, NKM-1 and NOMO-1, which possess [E2] G-CSF receptors [/E2]."
1704675,P01375,Tumor necrosis factor,cytokine,Tumor necrosis factor (TNF) is a cytokine which stimulates osteoclastic bone resorption and inhibits collagen synthesis in vitro.,[E1] Tumor necrosis factor [/E1] (TNF) is a [E2] cytokine [/E2] which stimulates osteoclastic bone resorption and inhibits collagen synthesis in vitro.
1704675,P01375,Tumor necrosis factor,collagen,Tumor necrosis factor (TNF) is a cytokine which stimulates osteoclastic bone resorption and inhibits collagen synthesis in vitro.,[E1] Tumor necrosis factor [/E1] (TNF) is a cytokine which stimulates osteoclastic bone resorption and inhibits [E2] collagen [/E2] synthesis in vitro.
1705566,P01375,Tumor necrosis factor,granulocyte-colony-stimulating factor,Tumor necrosis factor (TNF) inhibits granulocyte-colony-stimulating factor (G-CSF)-induced human acute myeloid leukemia (AML) growth in vitro.,[E1] Tumor necrosis factor [/E1] (TNF) inhibits [E2] granulocyte-colony-stimulating factor [/E2] (G-CSF)-induced human acute myeloid leukemia (AML) growth in vitro.
1706240,P05231,Interleukin-6,IFN-beta,"Interleukin-6 (IL-6, BSF-2 or IFN-beta 2) is thought to be the major regulator of the acute-phase protein response that follows tissue injury and inflammation, with interleukin-1 (IL-1), tumour necrosis factor and more recently, LIF or HSF III, slightly stimulatory on only certain acute phase proteins.","[E1] Interleukin-6 [/E1] (IL-6, BSF-2 or [E2] IFN-beta [/E2] 2) is thought to be the major regulator of the acute-phase protein response that follows tissue injury and inflammation, with interleukin-1 (IL-1), tumour necrosis factor and more recently, LIF or HSF III, slightly stimulatory on only certain acute phase proteins."
1706240,P05231,Interleukin-6,acute-phase protein,"Interleukin-6 (IL-6, BSF-2 or IFN-beta 2) is thought to be the major regulator of the acute-phase protein response that follows tissue injury and inflammation, with interleukin-1 (IL-1), tumour necrosis factor and more recently, LIF or HSF III, slightly stimulatory on only certain acute phase proteins.","[E1] Interleukin-6 [/E1] (IL-6, BSF-2 or IFN-beta 2) is thought to be the major regulator of the [E2] acute-phase protein [/E2] response that follows tissue injury and inflammation, with interleukin-1 (IL-1), tumour necrosis factor and more recently, LIF or HSF III, slightly stimulatory on only certain acute phase proteins."
1706240,P05231,Interleukin-6,interleukin-1,"Interleukin-6 (IL-6, BSF-2 or IFN-beta 2) is thought to be the major regulator of the acute-phase protein response that follows tissue injury and inflammation, with interleukin-1 (IL-1), tumour necrosis factor and more recently, LIF or HSF III, slightly stimulatory on only certain acute phase proteins.","[E1] Interleukin-6 [/E1] (IL-6, BSF-2 or IFN-beta 2) is thought to be the major regulator of the acute-phase protein response that follows tissue injury and inflammation, with [E2] interleukin-1 [/E2] (IL-1), tumour necrosis factor and more recently, LIF or HSF III, slightly stimulatory on only certain acute phase proteins."
1706240,P05231,Interleukin-6,IL-1,"Interleukin-6 (IL-6, BSF-2 or IFN-beta 2) is thought to be the major regulator of the acute-phase protein response that follows tissue injury and inflammation, with interleukin-1 (IL-1), tumour necrosis factor and more recently, LIF or HSF III, slightly stimulatory on only certain acute phase proteins.","[E1] Interleukin-6 [/E1] (IL-6, BSF-2 or IFN-beta 2) is thought to be the major regulator of the acute-phase protein response that follows tissue injury and inflammation, with interleukin-1 ([E2] IL-1 [/E2]), tumour necrosis factor and more recently, LIF or HSF III, slightly stimulatory on only certain acute phase proteins."
1706240,P05231,Interleukin-6,tumour necrosis factor,"Interleukin-6 (IL-6, BSF-2 or IFN-beta 2) is thought to be the major regulator of the acute-phase protein response that follows tissue injury and inflammation, with interleukin-1 (IL-1), tumour necrosis factor and more recently, LIF or HSF III, slightly stimulatory on only certain acute phase proteins.","[E1] Interleukin-6 [/E1] (IL-6, BSF-2 or IFN-beta 2) is thought to be the major regulator of the acute-phase protein response that follows tissue injury and inflammation, with interleukin-1 (IL-1), [E2] tumour necrosis factor [/E2] and more recently, LIF or HSF III, slightly stimulatory on only certain acute phase proteins."
1706240,P05231,Interleukin-6,LIF,"Interleukin-6 (IL-6, BSF-2 or IFN-beta 2) is thought to be the major regulator of the acute-phase protein response that follows tissue injury and inflammation, with interleukin-1 (IL-1), tumour necrosis factor and more recently, LIF or HSF III, slightly stimulatory on only certain acute phase proteins.","[E1] Interleukin-6 [/E1] (IL-6, BSF-2 or IFN-beta 2) is thought to be the major regulator of the acute-phase protein response that follows tissue injury and inflammation, with interleukin-1 (IL-1), tumour necrosis factor and more recently, [E2] LIF [/E2] or HSF III, slightly stimulatory on only certain acute phase proteins."
1706240,P05231,Interleukin-6,HSF III,"Interleukin-6 (IL-6, BSF-2 or IFN-beta 2) is thought to be the major regulator of the acute-phase protein response that follows tissue injury and inflammation, with interleukin-1 (IL-1), tumour necrosis factor and more recently, LIF or HSF III, slightly stimulatory on only certain acute phase proteins.","[E1] Interleukin-6 [/E1] (IL-6, BSF-2 or IFN-beta 2) is thought to be the major regulator of the acute-phase protein response that follows tissue injury and inflammation, with interleukin-1 (IL-1), tumour necrosis factor and more recently, LIF or [E2] HSF III [/E2], slightly stimulatory on only certain acute phase proteins."
1707253,P05231,Interleukin-6,pleiotropic cytokine,"Interleukin-6 (IL-6) is a pleiotropic cytokine regulating immune response, production of acute phase reactants in hepatocytes, growth of hematopoietic stem cells and other cellular functions in many cell lineages.","[E1] Interleukin-6 [/E1] (IL-6) is a [E2] pleiotropic cytokine [/E2] regulating immune response, production of acute phase reactants in hepatocytes, growth of hematopoietic stem cells and other cellular functions in many cell lineages."
1708292,P01375,Tumor necrosis factor,TNF alpha,Tumor necrosis factor alpha (TNF alpha) stimulates granulocyte-macrophage colony-stimulating factor (GM-CSF) production in human fibroblasts and other mesenchymal cells.,[E1] Tumor necrosis factor [/E1] alpha ([E2] TNF alpha [/E2]) stimulates granulocyte-macrophage colony-stimulating factor (GM-CSF) production in human fibroblasts and other mesenchymal cells.
1708292,P01375,Tumor necrosis factor,granulocyte-macrophage colony-stimulating factor,Tumor necrosis factor alpha (TNF alpha) stimulates granulocyte-macrophage colony-stimulating factor (GM-CSF) production in human fibroblasts and other mesenchymal cells.,[E1] Tumor necrosis factor [/E1] alpha (TNF alpha) stimulates [E2] granulocyte-macrophage colony-stimulating factor [/E2] (GM-CSF) production in human fibroblasts and other mesenchymal cells.
1708292,P01375,Tumor necrosis factor,GM-CSF,Tumor necrosis factor alpha (TNF alpha) stimulates granulocyte-macrophage colony-stimulating factor (GM-CSF) production in human fibroblasts and other mesenchymal cells.,[E1] Tumor necrosis factor [/E1] alpha (TNF alpha) stimulates granulocyte-macrophage colony-stimulating factor ([E2] GM-CSF [/E2]) production in human fibroblasts and other mesenchymal cells.
1708813,P01375,Tumor necrosis factor,granulocyte colony-stimulating factor,"Tumor necrosis factor alpha, granulocyte colony-stimulating factor, granulocyte/macrophage colony-stimulating factor, and formyl peptide were each found to cause a twofold increase in expression of CD14 on the surface of polymorphonuclear leukocytes (PMN).","[E1] Tumor necrosis factor [/E1] alpha, [E2] granulocyte colony-stimulating factor [/E2], granulocyte/macrophage colony-stimulating factor, and formyl peptide were each found to cause a twofold increase in expression of CD14 on the surface of polymorphonuclear leukocytes (PMN)."
1708813,P01375,Tumor necrosis factor,granulocyte/macrophage colony-stimulating factor,"Tumor necrosis factor alpha, granulocyte colony-stimulating factor, granulocyte/macrophage colony-stimulating factor, and formyl peptide were each found to cause a twofold increase in expression of CD14 on the surface of polymorphonuclear leukocytes (PMN).","[E1] Tumor necrosis factor [/E1] alpha, granulocyte colony-stimulating factor, [E2] granulocyte/macrophage colony-stimulating factor [/E2], and formyl peptide were each found to cause a twofold increase in expression of CD14 on the surface of polymorphonuclear leukocytes (PMN)."
1708813,P01375,Tumor necrosis factor,CD14,"Tumor necrosis factor alpha, granulocyte colony-stimulating factor, granulocyte/macrophage colony-stimulating factor, and formyl peptide were each found to cause a twofold increase in expression of CD14 on the surface of polymorphonuclear leukocytes (PMN).","[E1] Tumor necrosis factor [/E1] alpha, granulocyte colony-stimulating factor, granulocyte/macrophage colony-stimulating factor, and formyl peptide were each found to cause a twofold increase in expression of [E2] CD14 [/E2] on the surface of polymorphonuclear leukocytes (PMN)."
1709737,P01375,Tumor necrosis factor,proinflammatory cytokine,Tumor necrosis factor alpha (TNF-alpha) is a proinflammatory cytokine that mediates endothelial leukocyte interactions by inducing expression of adhesion molecules.,[E1] Tumor necrosis factor [/E1] alpha (TNF-alpha) is a [E2] proinflammatory cytokine [/E2] that mediates endothelial leukocyte interactions by inducing expression of adhesion molecules.
1709737,P01375,Tumor necrosis factor,adhesion molecules,Tumor necrosis factor alpha (TNF-alpha) is a proinflammatory cytokine that mediates endothelial leukocyte interactions by inducing expression of adhesion molecules.,[E1] Tumor necrosis factor [/E1] alpha (TNF-alpha) is a proinflammatory cytokine that mediates endothelial leukocyte interactions by inducing expression of [E2] adhesion molecules [/E2].
1710152,P05231,Interleukin-6,lymphokine,"Interleukin-6 (IL-6) is a multipotent lymphokine that can mediate differentiation of B cells into Ig-secreting cells, stimulate the growth of plasmacytomas, hybridomas, and T cells, and induce acute-phase proteins in liver cells.","[E1] Interleukin-6 [/E1] (IL-6) is a multipotent [E2] lymphokine [/E2] that can mediate differentiation of B cells into Ig-secreting cells, stimulate the growth of plasmacytomas, hybridomas, and T cells, and induce acute-phase proteins in liver cells."
1710152,P05231,Interleukin-6,acute-phase proteins,"Interleukin-6 (IL-6) is a multipotent lymphokine that can mediate differentiation of B cells into Ig-secreting cells, stimulate the growth of plasmacytomas, hybridomas, and T cells, and induce acute-phase proteins in liver cells.","[E1] Interleukin-6 [/E1] (IL-6) is a multipotent lymphokine that can mediate differentiation of B cells into Ig-secreting cells, stimulate the growth of plasmacytomas, hybridomas, and T cells, and induce [E2] acute-phase proteins [/E2] in liver cells."
1716492,P05231,Interleukin-6,C-reactive protein,Interleukin-6 has been shown to stimulate in vitro synthesis of C-reactive protein (CCRP) in hepatocytes by enhancing the transcriptional rate of the CRP gene.,[E1] Interleukin-6 [/E1] has been shown to stimulate in vitro synthesis of [E2] C-reactive protein [/E2] (CCRP) in hepatocytes by enhancing the transcriptional rate of the CRP gene.
1717680,P01584,Interleukin-1 beta,IL-1,Interleukin-1 beta (IL-1) reduces vascular smooth muscle contractility.,[E1] Interleukin-1 beta [/E1] ([E2] IL-1 [/E2]) reduces vascular smooth muscle contractility.
1723014,P09919,Granulocyte colony-stimulating factor,Mr,"Granulocyte colony-stimulating factor (G-CSF) is a glycoprotein of Mr of about 20,000, which stimulates proliferation and differentiation of progenitor cells of neutrophils.","[E1] Granulocyte colony-stimulating factor [/E1] (G-CSF) is a glycoprotein of [E2] Mr [/E2] of about 20,000, which stimulates proliferation and differentiation of progenitor cells of neutrophils."
1728387,P01375,Tumor necrosis factor,gamma-interferon,Tumor necrosis factor (TNF) and gamma-interferon (gamma-IFN) are cytokines with synergistic biologic and antiproliferative effects in vitro and in mouse models.,[E1] Tumor necrosis factor [/E1] (TNF) and [E2] gamma-interferon [/E2] (gamma-IFN) are cytokines with synergistic biologic and antiproliferative effects in vitro and in mouse models.
1728387,P01375,Tumor necrosis factor,gamma-IFN,Tumor necrosis factor (TNF) and gamma-interferon (gamma-IFN) are cytokines with synergistic biologic and antiproliferative effects in vitro and in mouse models.,[E1] Tumor necrosis factor [/E1] (TNF) and gamma-interferon ([E2] gamma-IFN [/E2]) are cytokines with synergistic biologic and antiproliferative effects in vitro and in mouse models.
1728387,P01375,Tumor necrosis factor,cytokines,Tumor necrosis factor (TNF) and gamma-interferon (gamma-IFN) are cytokines with synergistic biologic and antiproliferative effects in vitro and in mouse models.,[E1] Tumor necrosis factor [/E1] (TNF) and gamma-interferon (gamma-IFN) are [E2] cytokines [/E2] with synergistic biologic and antiproliferative effects in vitro and in mouse models.
1728989,P05231,Interleukin-6,multifunctional cytokine,"Interleukin-6 (IL-6) is a multifunctional cytokine that regulates the immune response, acute phase reactions, and hematopoiesis.","[E1] Interleukin-6 [/E1] (IL-6) is a [E2] multifunctional cytokine [/E2] that regulates the immune response, acute phase reactions, and hematopoiesis."
1734948,P60568,Interleukin-2,gamma interferon,Interleukin-2 (IL-2) and gamma interferon (gamma-IFN) may be synergistic in inducing cell-mediated antitumor cytotoxicity.,[E1] Interleukin-2 [/E1] (IL-2) and [E2] gamma interferon [/E2] (gamma-IFN) may be synergistic in inducing cell-mediated antitumor cytotoxicity.
1734948,P60568,Interleukin-2,gamma-IFN,Interleukin-2 (IL-2) and gamma interferon (gamma-IFN) may be synergistic in inducing cell-mediated antitumor cytotoxicity.,[E1] Interleukin-2 [/E1] (IL-2) and gamma interferon ([E2] gamma-IFN [/E2]) may be synergistic in inducing cell-mediated antitumor cytotoxicity.
1744798,P05112,Interleukin-4,leucocyte antigen CD23,"The leucocyte antigen CD23 is upregulated in the early stages of B-cell activation by Interleukin-4 (IL-4), and functions as an IgE receptor and lymphocyte growth factor.","The [E2] leucocyte antigen CD23 [/E2] is upregulated in the early stages of B-cell activation by [E1] Interleukin-4 [/E1] (IL-4), and functions as an IgE receptor and lymphocyte growth factor."
1744798,P05112,Interleukin-4,IgE receptor,"The leucocyte antigen CD23 is upregulated in the early stages of B-cell activation by Interleukin-4 (IL-4), and functions as an IgE receptor and lymphocyte growth factor.","The leucocyte antigen CD23 is upregulated in the early stages of B-cell activation by [E1] Interleukin-4 [/E1] (IL-4), and functions as an [E2] IgE receptor [/E2] and lymphocyte growth factor."
1744798,P05112,Interleukin-4,lymphocyte growth factor,"The leucocyte antigen CD23 is upregulated in the early stages of B-cell activation by Interleukin-4 (IL-4), and functions as an IgE receptor and lymphocyte growth factor.","The leucocyte antigen CD23 is upregulated in the early stages of B-cell activation by [E1] Interleukin-4 [/E1] (IL-4), and functions as an IgE receptor and [E2] lymphocyte growth factor [/E2]."
1745007,P01584,Interleukin-1 beta,tumor necrosis factor,Interleukin-1 beta (IL-1 beta) and tumor necrosis factor (TNF) have been reported to stimulate human mesangial cells (HMC) to proliferate and synthesize eicosanoids.,[E1] Interleukin-1 beta [/E1] (IL-1 beta) and [E2] tumor necrosis factor [/E2] (TNF) have been reported to stimulate human mesangial cells (HMC) to proliferate and synthesize eicosanoids.
1745007,P01584,Interleukin-1 beta,TNF,Interleukin-1 beta (IL-1 beta) and tumor necrosis factor (TNF) have been reported to stimulate human mesangial cells (HMC) to proliferate and synthesize eicosanoids.,[E1] Interleukin-1 beta [/E1] (IL-1 beta) and tumor necrosis factor ([E2] TNF [/E2]) have been reported to stimulate human mesangial cells (HMC) to proliferate and synthesize eicosanoids.
1745985,P01375,Tumor necrosis factor,cytokine,Tumor necrosis factor (TNF) is a cytokine produced by inflammatory macrophages and monocytes.,[E1] Tumor necrosis factor [/E1] (TNF) is a [E2] cytokine [/E2] produced by inflammatory macrophages and monocytes.
1767036,P60568,Interleukin-2,sIL-2R,The quantitative determination of Interleukin-2 Receptor (sIL-2R) in the serum of patients with acute or chronic Chagas disease is compared with values found in normal individuals.,The quantitative determination of [E1] Interleukin-2 [/E1] Receptor ([E2] sIL-2R [/E2]) in the serum of patients with acute or chronic Chagas disease is compared with values found in normal individuals.
1770227,P04141,Granulocyte-macrophage colony-stimulating factor,hematopoietic growth factor,Granulocyte-macrophage colony-stimulating factor (GM-CSF) is a hematopoietic growth factor that stimulates myeloid cell proliferation and maturation and enhances the function of terminally differentiated effector cells.,[E1] Granulocyte-macrophage colony-stimulating factor [/E1] (GM-CSF) is a [E2] hematopoietic growth factor [/E2] that stimulates myeloid cell proliferation and maturation and enhances the function of terminally differentiated effector cells.
1772482,P05231,Interleukin-6,multi-functional cytokine,"Interleukin-6 (IL-6) is a multi-functional cytokine produced and secreted by several different cell types, including those of the immune system.","[E1] Interleukin-6 [/E1] (IL-6) is a [E2] multi-functional cytokine [/E2] produced and secreted by several different cell types, including those of the immune system."
1772663,P04141,Granulocyte-macrophage colony-stimulating factor,growth factor,"Granulocyte-macrophage colony-stimulating factor (GM-CSF) is produced by cells in the placenta, is known to be a growth factor for trophoblast cells in vitro and when injected into pregnant mice at risk for mid-gestation fetal resorption, dramatically lowers the fetal death rate while stimulating placental and fetal growth.","[E1] Granulocyte-macrophage colony-stimulating factor [/E1] (GM-CSF) is produced by cells in the placenta, is known to be a [E2] growth factor [/E2] for trophoblast cells in vitro and when injected into pregnant mice at risk for mid-gestation fetal resorption, dramatically lowers the fetal death rate while stimulating placental and fetal growth."
1783473,P04141,Granulocyte-macrophage colony-stimulating factor,interleukin 2,Granulocyte-macrophage colony-stimulating factor (GM-CSF) was added to a culture of human peripheral blood mononuclear cells in the presence of interleukin 2 (IL-2) in vitro to elucidate its effect on the induction of lymphokine-activated killer (LAK) cells.,[E1] Granulocyte-macrophage colony-stimulating factor [/E1] (GM-CSF) was added to a culture of human peripheral blood mononuclear cells in the presence of [E2] interleukin 2 [/E2] (IL-2) in vitro to elucidate its effect on the induction of lymphokine-activated killer (LAK) cells.
1783473,P04141,Granulocyte-macrophage colony-stimulating factor,IL-2,Granulocyte-macrophage colony-stimulating factor (GM-CSF) was added to a culture of human peripheral blood mononuclear cells in the presence of interleukin 2 (IL-2) in vitro to elucidate its effect on the induction of lymphokine-activated killer (LAK) cells.,[E1] Granulocyte-macrophage colony-stimulating factor [/E1] (GM-CSF) was added to a culture of human peripheral blood mononuclear cells in the presence of interleukin 2 ([E2] IL-2 [/E2]) in vitro to elucidate its effect on the induction of lymphokine-activated killer (LAK) cells.
1793034,P01584,Interleukin-1 beta,IL-1,Interleukin-1 beta (IL-1) and basic fibroblast growth factor (bFGF) synergistically induce proteases in vitro.,[E1] Interleukin-1 beta [/E1] ([E2] IL-1 [/E2]) and basic fibroblast growth factor (bFGF) synergistically induce proteases in vitro.
1793034,P01584,Interleukin-1 beta,basic fibroblast growth factor,Interleukin-1 beta (IL-1) and basic fibroblast growth factor (bFGF) synergistically induce proteases in vitro.,[E1] Interleukin-1 beta [/E1] (IL-1) and [E2] basic fibroblast growth factor [/E2] (bFGF) synergistically induce proteases in vitro.
1793034,P01584,Interleukin-1 beta,bFGF,Interleukin-1 beta (IL-1) and basic fibroblast growth factor (bFGF) synergistically induce proteases in vitro.,[E1] Interleukin-1 beta [/E1] (IL-1) and basic fibroblast growth factor ([E2] bFGF [/E2]) synergistically induce proteases in vitro.
1793034,P01584,Interleukin-1 beta,proteases,Interleukin-1 beta (IL-1) and basic fibroblast growth factor (bFGF) synergistically induce proteases in vitro.,[E1] Interleukin-1 beta [/E1] (IL-1) and basic fibroblast growth factor (bFGF) synergistically induce [E2] proteases [/E2] in vitro.
1793050,P01584,Interleukin-1 beta,tumor necrosis factor-alpha,"Interleukin-1 beta (IL-1 beta) and tumor necrosis factor-alpha (TNF-alpha) have been reported to contribute to the pathogenesis of many inflammatory diseases, e.g., rheumatoid arthritis.","[E1] Interleukin-1 beta [/E1] (IL-1 beta) and [E2] tumor necrosis factor-alpha [/E2] (TNF-alpha) have been reported to contribute to the pathogenesis of many inflammatory diseases, e.g., rheumatoid arthritis."
1793050,P01584,Interleukin-1 beta,TNF-alpha,"Interleukin-1 beta (IL-1 beta) and tumor necrosis factor-alpha (TNF-alpha) have been reported to contribute to the pathogenesis of many inflammatory diseases, e.g., rheumatoid arthritis.","[E1] Interleukin-1 beta [/E1] (IL-1 beta) and tumor necrosis factor-alpha ([E2] TNF-alpha [/E2]) have been reported to contribute to the pathogenesis of many inflammatory diseases, e.g., rheumatoid arthritis."
1804734,P05231,Interleukin-6,cytokine,"Interleukin-6, a cytokine produced by various cell types, has a major role in inflammatory and immunological reactions.","[E1] Interleukin-6 [/E1], a [E2] cytokine [/E2] produced by various cell types, has a major role in inflammatory and immunological reactions."
1805248,P04141,Granulocyte-macrophage colony-stimulating factor,interleukin-3,Granulocyte-macrophage colony-stimulating factor (GM-CSF) and interleukin-3 (IL-3) are important members of the system of hematopoietic growth factors which control blood formation.,[E1] Granulocyte-macrophage colony-stimulating factor [/E1] (GM-CSF) and [E2] interleukin-3 [/E2] (IL-3) are important members of the system of hematopoietic growth factors which control blood formation.
1805248,P04141,Granulocyte-macrophage colony-stimulating factor,IL-3,Granulocyte-macrophage colony-stimulating factor (GM-CSF) and interleukin-3 (IL-3) are important members of the system of hematopoietic growth factors which control blood formation.,[E1] Granulocyte-macrophage colony-stimulating factor [/E1] (GM-CSF) and interleukin-3 ([E2] IL-3 [/E2]) are important members of the system of hematopoietic growth factors which control blood formation.
1805248,P04141,Granulocyte-macrophage colony-stimulating factor,hematopoietic growth factors,Granulocyte-macrophage colony-stimulating factor (GM-CSF) and interleukin-3 (IL-3) are important members of the system of hematopoietic growth factors which control blood formation.,[E1] Granulocyte-macrophage colony-stimulating factor [/E1] (GM-CSF) and interleukin-3 (IL-3) are important members of the system of [E2] hematopoietic growth factors [/E2] which control blood formation.
1805495,P01579,Interferon gamma,mitogen,In this paper we have assessed the mitogen responses of leprosy patients and healthy donors in terms of proliferation and cytokine production (Interleukin 2 and Interferon gamma).,In this paper we have assessed the [E2] mitogen [/E2] responses of leprosy patients and healthy donors in terms of proliferation and cytokine production (Interleukin 2 and [E1] Interferon gamma [/E1]).
1805495,P01579,Interferon gamma,cytokine,In this paper we have assessed the mitogen responses of leprosy patients and healthy donors in terms of proliferation and cytokine production (Interleukin 2 and Interferon gamma).,In this paper we have assessed the mitogen responses of leprosy patients and healthy donors in terms of proliferation and [E2] cytokine [/E2] production (Interleukin 2 and [E1] Interferon gamma [/E1]).
